File_ID,File_Size_MB,File_Type,Last_Accessed_Days_Ago,Number_of_Accesses,Noise_Level_Percent
File_1,861,video,52,288,2.94
File_2,3773,video,150,477,5.0
File_3,3093,document,143,230,2.78
File_4,467,document,56,922,2.37
File_5,4427,audio,38,419,1.56
File_6,3445,image,108,156,0.6
File_7,3172,document,180,549,3.66
File_8,2920,software,41,440,0.96
File_9,131,image,185,96,0.58
File_10,1686,image,222,996,2.11
File_11,770,software,121,410,3.98
File_12,2392,image,132,950,3.73
File_13,2434,document,162,288,0.27
File_14,1185,document,214,253,2.28
File_15,4556,software,220,195,2.61
File_16,3386,video,234,597,3.22
File_17,4118,software,330,833,3.25
File_18,4844,software,145,521,1.82
File_19,2905,document,238,516,2.8
File_20,475,image,75,634,2.41
File_21,1083,document,8,841,4.42
File_22,2559,software,73,864,2.65
File_23,2048,software,252,117,2.21
File_24,2748,audio,229,805,2.02
File_25,976,document,6,908,2.86
File_26,1807,document,173,158,4.02
File_27,190,image,140,814,2.69
File_28,2735,image,167,227,3.31
File_29,3006,software,169,876,3.69
File_30,4659,document,282,215,2.6
File_31,1900,audio,121,947,2.13
File_32,1268,software,193,695,4.38
File_33,1529,software,4,14,2.09
File_34,3203,software,28,156,2.31
File_35,3557,video,164,647,4.95
File_36,3891,image,338,260,0.0
File_37,647,audio,135,156,0.93
File_38,2889,software,364,46,1.92
File_39,2436,audio,320,323,4.66
File_40,601,document,341,843,0.35
File_41,2364,image,144,684,0.05
File_42,2062,image,326,129,0.26
File_43,242,audio,216,410,0.44
File_44,2042,video,300,94,0.19
File_45,2825,video,131,626,2.4
File_46,2613,software,291,754,2.9
File_47,1364,image,69,931,1.36
File_48,1479,audio,251,291,1.99
File_49,2557,document,274,793,0.46
File_50,776,document,363,810,1.68
File_51,4015,audio,181,282,2.61
File_52,35,image,166,68,3.66
File_53,3153,document,90,659,0.02
File_54,1956,software,201,10,2.34
File_55,1586,video,345,253,1.49
File_56,3944,software,18,841,4.26
File_57,3074,document,38,871,3.58
File_58,1022,audio,125,549,2.95
File_59,3462,software,172,133,1.39
File_60,2614,audio,140,711,4.55
File_61,3844,video,241,22,0.23
File_62,1501,image,219,814,0.55
File_63,4799,software,125,345,1.96
File_64,162,video,57,301,0.62
File_65,4298,document,147,362,4.78
File_66,1982,software,316,395,3.99
File_67,996,software,360,217,1.29
File_68,4912,image,0,140,2.94
File_69,3343,video,347,615,4.91
File_70,4552,audio,189,957,4.42
File_71,3799,image,190,209,3.0
File_72,1276,software,311,984,4.52
File_73,1017,software,116,992,4.95
File_74,338,software,133,622,3.72
File_75,879,audio,57,615,0.32
File_76,1077,document,43,827,2.01
File_77,4888,image,172,682,4.19
File_78,3994,image,159,459,1.15
File_79,4860,document,172,355,4.15
File_80,380,software,316,323,0.6
File_81,493,document,302,132,0.23
File_82,2063,video,148,887,1.92
File_83,3885,software,79,804,0.18
File_84,65,software,212,839,4.79
File_85,2569,image,202,126,4.13
File_86,2028,document,251,105,4.0
File_87,2696,document,228,603,3.15
File_88,1496,software,163,798,1.08
File_89,392,software,226,377,2.59
File_90,4515,audio,146,904,2.99
File_91,4475,software,19,50,2.63
File_92,3562,document,46,28,1.3
File_93,2279,software,232,461,2.58
File_94,3100,software,304,295,2.46
File_95,201,image,13,296,4.98
File_96,4876,image,142,725,4.49
File_97,3105,software,0,778,2.32
File_98,4599,audio,53,406,3.11
File_99,2455,software,258,768,3.74
File_100,3646,software,143,813,0.17
File_101,805,video,11,612,4.47
File_102,2732,software,329,404,4.3
File_103,2774,audio,223,345,2.29
File_104,1571,software,271,621,1.96
File_105,2691,document,357,419,1.36
File_106,3841,document,155,181,2.38
File_107,1029,video,7,982,0.22
File_108,503,software,121,824,4.26
File_109,4494,software,347,0,0.18
File_110,871,video,163,830,1.65
File_111,4489,document,89,949,4.66
File_112,207,document,135,566,3.68
File_113,1485,image,185,370,1.41
File_114,864,image,315,935,1.26
File_115,2791,document,177,910,0.03
File_116,564,audio,27,660,3.48
File_117,4192,video,219,430,0.24
File_118,1758,audio,356,968,2.66
File_119,1679,software,40,308,4.81
File_120,3243,document,227,136,0.55
File_121,4637,document,191,201,4.47
File_122,1060,document,144,435,4.96
File_123,1723,audio,200,312,0.31
File_124,3315,audio,211,116,4.41
File_125,3158,audio,219,665,2.58
File_126,2626,software,239,936,4.53
File_127,2730,audio,45,802,2.86
File_128,1598,video,34,574,3.31
File_129,3061,image,252,243,2.72
File_130,2694,software,81,536,4.32
File_131,4892,document,255,601,3.67
File_132,3628,image,196,74,2.61
File_133,1364,image,302,805,4.34
File_134,1982,image,9,385,1.23
File_135,1664,image,311,902,0.79
File_136,1530,video,285,209,0.8
File_137,2039,video,241,474,1.67
File_138,3303,image,250,417,1.19
File_139,2238,video,364,346,4.65
File_140,1307,audio,4,528,0.53
File_141,4030,document,118,639,3.49
File_142,2676,image,288,938,0.95
File_143,1283,image,64,954,4.41
File_144,710,audio,145,875,4.81
File_145,4745,image,223,762,2.33
File_146,4414,audio,238,178,4.4
File_147,3749,video,176,181,0.03
File_148,4780,audio,266,663,4.1
File_149,664,document,340,24,1.14
File_150,1999,image,281,966,4.54
File_151,3446,audio,62,179,0.01
File_152,3744,audio,216,709,2.78
File_153,1496,software,341,500,3.78
File_154,3305,software,314,855,1.29
